Longitude,Latitude,Crime type,Date,Crime Description
-122.413157693,37.777457419,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Auto"
-122.41890103,37.757035401,Assault,2021-10-01 0:00:00,"Firearm, Discharging at Unoccupied Bldg, Vehicle or Aircraft"
-122.475937336,37.730118805,Vehicle Impounded,2021-10-01 0:00:00,"Vehicle, Impounded"
-122.445965373,37.79958091,Larceny Theft,2021-10-01 0:00:00,"Theft, From Unlocked Vehicle, >$950"
-122.44341351,37.802774138,Larceny Theft,2021-10-01 0:00:00,"Theft, Vehicle Strip, >$950"
-122.400311438,37.744982275,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Truck"
-122.400311438,37.744982275,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Truck"
-122.422901799,37.801558051,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.39361947,37.752485365,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.415320142,37.754033533,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen & Recovered"
-122.393181333,37.793230491,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Motorcycle"
-122.393181333,37.793230491,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen & Recovered"
-122.395645468,37.786378936,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Auto"
-122.447303045,37.798459232,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Auto"
-122.418993275,37.782169269,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Auto"
-122.419017544,37.752204441,Malicious Mischief,2021-10-01 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.416324357,37.802410831,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Auto"
-122.446942445,37.757228921,Malicious Mischief,2021-10-01 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.391268425,37.739853199,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Auto"
-122.402384827,37.778604289,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Recovered, Stolen outside SF"
-122.412277632,37.743591587,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.399269742,37.726780183,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Auto"
-122.402600412,37.725235111,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Other Vehicle"
-122.387194549,37.756777687,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Motorcycle"
-122.433074472,37.764195712,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.386265015,37.717178948,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Recovered, Stolen outside SF"
-122.434863773,37.777280664,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.458637162,37.767199999,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.509402193,37.764032734,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.42866513,37.764507612,Malicious Mischief,2021-10-01 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.419613974,37.801994862,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.448578818,37.76979785,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.389526604,37.771109952,Malicious Mischief,2021-10-01 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.40452729,37.744297915,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Auto"
-122.425980161,37.791756921,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.460676843,37.76744881,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, <$50"
-122.43915622,37.798533327,Larceny Theft,2021-10-01 0:00:00,"Theft, From Unlocked Vehicle, $50-$200"
-122.446910119,37.803283996,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.446910119,37.803283996,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.397863387,37.766369338,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, Att."
-122.428559573,37.73347313,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Auto"
-122.40006608,37.799681413,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.406956633,37.805494468,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.401875119,37.726964758,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Truck"
-122.401875119,37.726964758,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Auto"
-122.401875119,37.726964758,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Auto"
-122.46874568,37.731848644,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Auto"
-122.509894751,37.771396031,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Auto"
-122.476039473,37.726949913,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.404412162,37.796302097,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.405357242,37.805695943,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, $50-$200"
-122.408188969,37.752852404,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Motorcycle"
-122.429782594,37.785563846,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.408036237,37.786409613,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.391199349,37.771009191,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Other Vehicle"
-122.429782594,37.785563846,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.409878755,37.798442295,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.43597689,37.723129962,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Auto"
-122.415241487,37.805417171,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.391165595,37.78477478,Larceny Theft,2021-10-01 0:00:00,"Theft, From Unlocked Vehicle, <$50"
-122.436746553,37.786601038,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.39695784,37.796346859,Larceny Theft,2021-10-01 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.413105244,37.765447608,Malicious Mischief,2021-10-01 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.414106897,37.776707687,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Auto"
-122.413925775,37.75090258,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Auto"
-122.385616008,37.750382775,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Auto"
-122.457670307,37.709539892,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Truck"
-122.445984426,37.752351715,Larceny Theft,2021-10-01 0:00:00,"Theft, From Unlocked Vehicle, >$950"
-122.419857944,37.755365729,Malicious Mischief,2021-10-01 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.432140391,37.78049626,Recovered Vehicle,2021-10-01 0:00:00,"Vehicle, Recovered, Auto"
-122.401104526,37.716317308,Malicious Mischief,2021-10-01 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.405646738,37.738321361,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Attempted"
-122.409693263,37.781754327,Larceny Theft,2021-10-01 0:00:00,"Theft, From Unlocked Vehicle, >$950"
-122.371245899,37.817823898,Malicious Mischief,2021-10-01 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.406475553,37.795144464,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Auto"
-122.486737522,37.778068744,Motor Vehicle Theft,2021-10-01 0:00:00,"Vehicle, Stolen, Auto"
-122.435680344,37.756408854,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.412531203,37.787766807,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.388629073,37.751502163,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.455419281,37.788018101,Larceny Theft,2021-10-02 0:00:00,"Theft, From Unlocked Vehicle, >$950"
-122.411899823,37.752628589,Motor Vehicle Theft,2021-10-02 0:00:00,"Vehicle, Stolen, Auto"
-122.411899823,37.752628589,Motor Vehicle Theft,2021-10-02 0:00:00,"Vehicle, Stolen, Auto"
-122.412595278,37.783932576,Malicious Mischief,2021-10-02 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.44767921,37.791702898,Larceny Theft,2021-10-02 0:00:00,"Theft, From Unlocked Vehicle, >$950"
-122.410951619,37.784141011,Motor Vehicle Theft,2021-10-02 0:00:00,"Vehicle, Stolen, Auto"
-122.468481041,37.74894564,Larceny Theft,2021-10-02 0:00:00,"Theft, Vehicle Strip, >$950"
-122.41588254,37.78351564,Motor Vehicle Theft,2021-10-02 0:00:00,"Vehicle, Stolen, Auto"
-122.391852421,37.729785554,Malicious Mischief,2021-10-02 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.414387602,37.755699464,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.443461442,37.769496997,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.413865605,37.781863338,Recovered Vehicle,2021-10-02 0:00:00,"Vehicle, Recovered, Auto"
-122.469818029,37.716093495,Recovered Vehicle,2021-10-02 0:00:00,"Vehicle, Recovered, Auto"
-122.408595046,37.789225614,Motor Vehicle Theft,2021-10-02 0:00:00,"Vehicle, Stolen, Auto"
-122.418030234,37.773474419,Motor Vehicle Theft,2021-10-02 0:00:00,"Vehicle, Stolen, Other Vehicle"
-122.401261503,37.786851715,Larceny Theft,2021-10-02 0:00:00,"Theft, From Unlocked Vehicle, $200-$950"
-122.404623338,37.765958188,Motor Vehicle Theft,2021-10-02 0:00:00,"Vehicle, Recovered, Stolen outside SF"
-122.41799627,37.785641709,Malicious Mischief,2021-10-02 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.41799627,37.785641709,Vandalism,2021-10-02 0:00:00,"Vehicle, Tampering"
-122.445344991,37.770210174,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.393618076,37.783077853,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.406162859,37.77894276,Larceny Theft,2021-10-02 0:00:00,"Theft, From Unlocked Vehicle, $200-$950"
-122.435052391,37.778212771,Motor Vehicle Theft,2021-10-02 0:00:00,"Vehicle, Stolen, Truck"
